Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,corn_acres_planted,CORN - ACRES PLANTED  -  <b>CV (%)</b>,"CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,,99,OTHER COUNTIES,,,,0,,CORN,TOTAL,NOT SPECIFIED,2079800,0.1,1991720,0.2,341068000,1.5,171.2,1.5
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,BUFFALO,19,,,0,,CORN,TOTAL,NOT SPECIFIED,213500,0.1,210000,0.7,41244000,4.8,196.4,4.7
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,CUSTER,41,,,0,,CORN,TOTAL,NOT SPECIFIED,247000,0.1,236500,0.7,45680000,5.3,193.2,5.3
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,DAWSON,47,,,0,,CORN,TOTAL,NOT SPECIFIED,200500,0.1,192400,0.7,45118000,1.6,234.5,1.4
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,GREELEY,77,,,0,,CORN,TOTAL,NOT SPECIFIED,80600,0.4,76400,0.7,14776000,9.9,193.4,9.9
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HALL,79,,,0,,CORN,TOTAL,NOT SPECIFIED,184500,0.1,182400,0.7,39195000,5.8,214.9,5.8
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HOWARD,93,,,0,,CORN,TOTAL,NOT SPECIFIED,104000,0.2,93700,0.6,20295000,4.1,216.6,4.1
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,SHERMAN,163,,,0,,CORN,TOTAL,NOT SPECIFIED,77900,0.5,73900,0.8,14647000,5.1,198.2,5
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,VALLEY,175,,,0,,CORN,TOTAL,NOT SPECIFIED,77600,0.5,68500,0.8,14392000,4.7,210.1,4.7
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,EAST,60,BUTLER,23,,,0,,CORN,TOTAL,NOT SPECIFIED,155500,0.1,150600,0.7,28169000,3.7,187,3.6
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,EAST,60,CASS,25,,,0,,CORN,TOTAL,NOT SPECIFIED,129000,0.1,127800,0.8,25010000,3.1,195.7,3
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,EAST,60,COLFAX,37,,,0,,CORN,TOTAL,NOT SPECIFIED,116500,0.2,103400,0.6,17971000,5.8,173.8,5.7
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,EAST,60,DODGE,53,,,0,,CORN,TOTAL,NOT SPECIFIED,143000,0.1,141800,0.7,28105000,2.4,198.2,2.3
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,EAST,60,DOUGLAS,55,,,0,,CORN,TOTAL,NOT SPECIFIED,25200,7.4,24900,7.4,4123000,8.2,165.6,3.5
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,EAST,60,HAMILTON,81,,,0,,CORN,TOTAL,NOT SPECIFIED,210500,0.1,204500,0.6,44765000,2.1,218.9,2
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,EAST,60,LANCASTER,109,,,0,,CORN,TOTAL,NOT SPECIFIED,139500,0.1,138200,0.7,19293000,5.5,139.6,5.5
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,EAST,60,MERRICK,121,,,0,,CORN,TOTAL,NOT SPECIFIED,127500,0.2,123900,0.8,24644000,5,198.9,5
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,EAST,60,PLATTE,141,,,0,,CORN,TOTAL,NOT SPECIFIED,202000,0.1,189700,0.6,39344000,3.3,207.4,3.2
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,EAST,60,POLK,143,,,0,,CORN,TOTAL,NOT SPECIFIED,137000,0.1,128400,0.6,24435000,6,190.3,5.9
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,EAST,60,SARPY,153,,,0,,CORN,TOTAL,NOT SPECIFIED,29300,4.5,29100,4.6,5308000,5.6,182.4,3.4
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,EAST,60,SAUNDERS,155,,,0,,CORN,TOTAL,NOT SPECIFIED,187000,0.1,184000,0.7,35199000,4.6,191.3,4.6
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,EAST,60,WASHINGTON,177,,,0,,CORN,TOTAL,NOT SPECIFIED,82800,0.2,80900,0.7,12564000,3.4,155.3,3.3
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTH,20,BOYD,15,,,0,,CORN,TOTAL,NOT SPECIFIED,41800,0.5,39900,0.9,6842000,5.9,171.5,5.9
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTH,20,BROWN,17,,,0,,CORN,TOTAL,NOT SPECIFIED,39400,0.6,36000,0.8,7629000,4.3,211.9,4.3
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTH,20,GARFIELD,71,,,0,,CORN,TOTAL,NOT SPECIFIED,12800,2.5,11000,2.5,2122000,7.2,192.9,6.8
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTH,20,HOLT,89,,,0,,CORN,TOTAL,NOT SPECIFIED,174000,0.3,167600,0.7,37492000,3.8,223.7,3.8
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTH,20,KEYA PAHA,103,,,0,,CORN,TOTAL,NOT SPECIFIED,20600,1,17700,1.2,3806000,3.4,215,3.2
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTH,20,LOGAN,113,,,0,,CORN,TOTAL,NOT SPECIFIED,22500,1.2,21500,1.3,4356000,6.6,202.6,6.4
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTH,20,LOUP,115,,,0,,CORN,TOTAL,NOT SPECIFIED,8800,1.9,5480,2,978000,10.4,178.5,10.2
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTH,20,ROCK,149,,,0,,CORN,TOTAL,NOT SPECIFIED,27300,1.1,26200,1.3,6087000,5.1,232.3,4.8
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTH,20,WHEELER,183,,,0,,CORN,TOTAL,NOT SPECIFIED,39100,0.7,32800,1,7406000,5.8,225.8,5.8
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTHEAST,30,BURT,21,,,0,,CORN,TOTAL,NOT SPECIFIED,126500,0.1,125100,0.7,21805000,2.8,174.3,2.8
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTHEAST,30,CEDAR,27,,,0,,CORN,TOTAL,NOT SPECIFIED,189000,0.1,180300,0.6,35494000,4.7,196.9,4.6
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTHEAST,30,CUMING,39,,,0,,CORN,TOTAL,NOT SPECIFIED,161500,0.1,145000,0.6,23896000,4.1,164.8,4.1
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTHEAST,30,DAKOTA,43,,,0,,CORN,TOTAL,NOT SPECIFIED,63400,0.8,62500,1.1,12294000,3.6,196.7,3.4
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTHEAST,30,DIXON,51,,,0,,CORN,TOTAL,NOT SPECIFIED,116000,0.2,110600,0.6,19775000,2.9,178.8,2.9
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTHEAST,30,KNOX,107,,,0,,CORN,TOTAL,NOT SPECIFIED,156000,0.1,142000,0.6,23714000,6.9,167,6.9
